resource,consumer,Prey group,Reference,URL/DOI,Observation
Lontra felina,Cancer edwardsii,Benthic decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Loxechinus albus,Macrocystis pyrifera,Brown algae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Feaces
Loxechinus albus,Rhodymenia falklandica,Red algae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Stomach content
Loxechinus albus,Lessonia flavicans,Brown algae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Stomach content
Loxechinus albus,Sarcopeltis skottsbergii,Red algae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Stomach content
Loxechinus albus,Callophyllis variegata,Red algae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Stomach content
Loxechinus albus,Harpagifer bispinis,Pisces,Andrade (pers. comm.),,Stomach content
Macruronus magellanicus,Sprattus fuegensis,Pisces,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html,In situ observation (laboratory)
Margarella violacea,Macrocystis pyrifera,Brown algae,C. Andrade (pers. comm.),,Stomach content
Megaptera novaeangliae,Munida gregaria,Benthic decapoda,Haro D. (2013),https://repositorio.anid.cl/entities/tesis/406746d0-8cbf-4a5f-a5f8-6812504b84a2,In situ observation
Megaptera novaeangliae,Sprattus fuegensis,Pisces,Haro D. (2013),https://repositorio.anid.cl/entities/tesis/406746d0-8cbf-4a5f-a5f8-6812504b84a2,SIA (skin)
Megaptera novaeangliae,Euphausia lucens,Pelagic crustacea,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,SIA (skin)
Megaptera novaeangliae,Euphausia vallentini,Pelagic crustacea,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,SIA (skin)
Megaptera novaeangliae,Themisto gaudichaudii ,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,SIA (skin)
Merluccius australis,Sprattus fuegensis,Pisces,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html,SIA (skin)
Munida gregaria,Ulva sp.,Green algae,Andrade (pers. comm.),,Stomach content
Munida gregaria,Serolis sp.,Isopoda,Andrade (pers. comm.),,In situ observation 
Munida gregaria,Sponges,Porifera,Andrade (pers. comm.),,
Munida gregaria,Phytodetritus,Phytodetritus,Andrade (pers. comm.),,
Munida gregaria,Detritus,Detritus,Andrade (pers. comm.),,
Nacella deaurata,Bivalvia,Bivalvia,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,
Nacella deaurata,Forams,Forams,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella deaurata,Elphidium macellum,Forams,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella deaurata,Brown algae,Brown algae,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella deaurata,Green algae,Green algae,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella deaurata,Miscellaneus,Miscellaneus,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella deaurata,Red algae,Red algae,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella deaurata,Chroococcus sp.,Cyanobacteria,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content
Nacella deaurata,Oscillatoria sp.,Cyanobacteria,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Melosira sp.,Plankton diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Coscinodiscus sp.,Plankton diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Stephanopyxis sp.,Plankton diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Biddulphia sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Pinnularia sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Navicula sp.,Plankton diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Gyrosigma sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Diploneis sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Plagiotropis sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Cocconeis sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Surirella sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Gomphonema sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Cymbella sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
